path_in_zip,filename,ext,size_bytes,role_guess,suggested_action,reason
ZIPS/run_backup.bat,run_backup.bat,.bat,81,Script (shell/PS),🔴 Safe to delete,Backup/archive at project root
ZIPS/audit_code_hits.csv,audit_code_hits.csv,.csv,4,Data (.csv),🔴 Safe to delete or move to /data,Data dump should not live at project root
ZIPS/audit_folders_vehiculos.csv,audit_folders_vehiculos.csv,.csv,1974,Data (.csv),🔴 Safe to delete or move to /data,Data dump should not live at project root
ZIPS/audit_templates_canonical_hits.csv,audit_templates_canonical_hits.csv,.csv,124225,Data (.csv),🔴 Safe to delete or move to /data,Data dump should not live at project root
ZIPS/audit_templates_hits.csv,audit_templates_hits.csv,.csv,218046,Data (.csv),🔴 Safe to delete or move to /data,Data dump should not live at project root
ZIPS/agregar_lineas_sql.sql,agregar_lineas_sql.sql,.sql,1896,SQL dump (.sql),🔴 Safe to delete or move to /data,Data dump should not live at project root
ZIPS/.aider.chat.history.md,.aider.chat.history.md,.md,178544,Markdown note (.md),🟡 Consider moving to /docs,Note/readme at project root
ZIPS/AJUSTES_VIEWS_FBV.md,AJUSTES_VIEWS_FBV.md,.md,16101,Markdown note (.md),🟡 Consider moving to /docs,Note/readme at project root
ZIPS/API_DOCUMENTOS_MEJORADA.md,API_DOCUMENTOS_MEJORADA.md,.md,8194,Markdown note (.md),🟡 Consider moving to /docs,Note/readme at project root
ZIPS/AUTOCOMPLETADO_CLIENTES_IMPLEMENTADO.md,AUTOCOMPLETADO_CLIENTES_IMPLEMENTADO.md,.md,6332,Markdown note (.md),🟡 Consider moving to /docs,Note/readme at project root
ZIPS/BRANDING_EMPRESA_IMPLEMENTADO.md,BRANDING_EMPRESA_IMPLEMENTADO.md,.md,7697,Markdown note (.md),🟡 Consider moving to /docs,Note/readme at project root
ZIPS/CAMBIOS_APLICADOS_FINAL.md,CAMBIOS_APLICADOS_FINAL.md,.md,10509,Markdown note (.md),🟡 Consider moving to /docs,Note/readme at project root
ZIPS/COMANDOS_PDF_EJEMPLO.md,COMANDOS_PDF_EJEMPLO.md,.md,5018,Markdown note (.md),🟡 Consider moving to /docs,Note/readme at project root
ZIPS/CORRECCIONES_HALLAZGOS_IMPLEMENTADAS.md,CORRECCIONES_HALLAZGOS_IMPLEMENTADAS.md,.md,10797,Markdown note (.md),🟡 Consider moving to /docs,Note/readme at project root
ZIPS/CORRECCION_DOCUMENTOS_URLS_COMPLETADA.md,CORRECCION_DOCUMENTOS_URLS_COMPLETADA.md,.md,6335,Markdown note (.md),🟡 Consider moving to /docs,Note/readme at project root
